0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
14.5 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.6 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.7 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.8 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
14.9 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.0 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.1 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.2 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.3 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.4 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.5 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.6 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.7 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.8 Sent 64224 bytes 844 pkt (dropped 1529, overlimits 1529 requeues 0) 
15.9 Sent 68838 bytes 907 pkt (dropped 1673, overlimits 1673 requeues 0) 
16.0 Sent 74058 bytes 977 pkt (dropped 1804, overlimits 1804 requeues 0) 
16.1 Sent 78402 bytes 1029 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.2 Sent 78582 bytes 1031 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.3 Sent 82632 bytes 1076 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.4 Sent 83262 bytes 1083 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.5 Sent 83262 bytes 1083 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.6 Sent 83262 bytes 1083 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.7 Sent 84882 bytes 1101 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.8 Sent 84882 bytes 1101 pkt (dropped 1887, overlimits 1887 requeues 0) 
16.9 Sent 85014 bytes 1103 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.0 Sent 85080 bytes 1104 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.1 Sent 85080 bytes 1104 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.2 Sent 85344 bytes 1108 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.3 Sent 85344 bytes 1108 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.4 Sent 85344 bytes 1108 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.5 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.6 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.7 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.8 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
17.9 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.0 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.1 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.2 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.3 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.4 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.5 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.6 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.7 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.8 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
18.9 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.0 Sent 86244 bytes 1118 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
19.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
20.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
21.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
22.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
23.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
24.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
25.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
26.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
27.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
28.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
29.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.1 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.2 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.3 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.4 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.5 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.6 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.7 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.8 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
30.9 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
31.0 Sent 86514 bytes 1121 pkt (dropped 1887, overlimits 1887 requeues 0) 
31.1 Sent 88844 bytes 1154 pkt (dropped 1904, overlimits 1904 requeues 0) 
31.2 Sent 92880 bytes 1208 pkt (dropped 1958, overlimits 1958 requeues 0) 
31.3 Sent 98356 bytes 1282 pkt (dropped 2097, overlimits 2097 requeues 0) 
31.4 Sent 98356 bytes 1282 pkt (dropped 2097, overlimits 2097 requeues 0) 
31.5 Sent 99346 bytes 1293 pkt (dropped 2101, overlimits 2101 requeues 0) 
31.6 Sent 99346 bytes 1293 pkt (dropped 2101, overlimits 2101 requeues 0) 
