0 Sent 0 bytes 0 pkt (dropped 0, overlimits 0 requeues 0) 
24.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
24.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
25.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
26.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.7 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.8 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
27.9 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.0 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.1 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.2 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.3 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.4 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.5 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
28.6 Sent 90678 bytes 1155 pkt (dropped 1629, overlimits 1629 requeues 0) 
